1080,3
a,1
aa,3
aah,1
aalii,3
aardvark,2
aardwolf,1
aasvogel,3
ab,1
aba,2
abaca,3
abacate,4
abacaxi,4
abaciscus,4
abacist,3
aback,2
abacterial,6
abactinal,4
abactor,3
abaculus,4
abacus,3
abaft,2
abalienate,4
abalienation,5
abalone,4
abampere,3
abandon,3
abandoned,3
abarthrosis,3
abase,2
abash,2
abassi,3
abate,2
abatement,3
abatis,3
abatised,1
abator,2
abattoir,3
abaxial,4
abb,1
abba,1
abbacy,3
abbatial,3
abbey,2
abbess,2
abbot,2
abbreviate,4
abbreviated,5
abbreviation,5
abbreviature,2
